Essential Genes	Chokepoint Reactions	Essential chokepoint genes
tr_Q9RSU1_Q9RSU1_DEIRA	EX_udcpdp_e	
sp_Q9RRT0_MENG_DEIRA	GLYOX_1	
tr_Q9RV41_Q9RV41_DEIRA	AHCi	
tr_Q9RUY4_Q9RUY4_DEIRA	EX_hdca_e	
sp_Q9RRG7_DCTA_DEIRA	EX_alaala_e	
tr_Q9RXU1_Q9RXU1_DEIRA	EX_lac__D_e	
sp_Q9RUL7_PDXS_DEIRA	EX_aso3_e	
sp_Q9RXZ5_URK_DEIRA	TAGLIPA182d9d12	
sp_Q9RU10_MURI_DEIRA	EX_met__L_e	
tr_Q9RY01_Q9RY01_DEIRA	NH4tpp	
sp_Q9RUA9_LEU1_DEIRA	CO2tpp	
sp_Q9RTF5_GCSP_DEIRA	METtex	
tr_Q9RVU7_Q9RVU7_DEIRA	PPAP_Et	
	IND3ACtex	
	SHK3Dr	
	SPTc	
	EX_cobalt2_e	
	EX_pro__L_e	
	GLYCLTt2rpp	
	DLMETR	
	EX_udcpp_e	
	ECOAH12	
	G6PBDH	
	FOLR2	
	4H2KPILY	
	METabcpp	
	SDPTA	
	TNTR3	
	FUMtex	
	THRabc	
	ACSPHAC40	
	CMHMI	
	EX_prohisglu_e	
	GRXR	
	PYDXNtr	
	NOVBCNtex	
	VALt3pp	
	O2tpp	
	FUM	
	METSOXR2	
	EX_oaa_e	
	PROabc	
	ASO4rt2rpp	
	KARA4	
	HHDDI	
	MDH	
	MALtex	
	EX_tag182d9d12_e	
	EX_glu__L_e	
	VALt2rpp	
	CYSTA	
	PGM	
	ARGtex	
	EX_ala__D_e	
	THMtrbc	
	HIBD	
	RBFK	
	UDCPDPex	
	IPPMIa	
	DABAAT	
	ADNt2pp	
	GTPCII	
	EX_nac_e	
	INS2D	
	DCMPtex	
	ZN2tpp	
	CDPMEK	
	HOMtpp	
	D_LACt2pp	
	ADPT	
	PDC	
	ASO3tex_1	
	NDPK7	
	EX_trp__L_e	
	LGTHL	
	EX_lnlc_e	
	MALDtex	
	ID3ACALDt	
	HOMt2pp	
	EX_fol_e	
	BZt	
	GAPD	
	TAGLIPA160ex	
	DHQTi	
	HCYSS2	
	PYAM5PO	
	PSCVT	
	MAL_D_Et	
	ILEDHr	
	RPE	
	D_LACtex	
	GTPCII2	
	URAt2pp	
	METAT	
